state,total_pop,age_under_18,age_18_24,age_25_44,age_45_64,age_65_plus,race_white,race_black,race_native,race_asian,race_pacific_islander,race_mixed,edu_child_under_15,edu_no_hs_diploma,edu_high_school,edu_some_college,edu_college_degree_plus,irp_below_50,irp_50_100,irp_100_300,irp_300_500,irp_500_plus
AL,4820,1090,440,1212,1365,713,3286,1310,24,96,6,98,896,760,1247,1073,845,311,473,1814,1133,1089
AK,703,187,65,200,172,80,442,25,116,53,10,58,153,69,164,162,156,33,31,197,187,254
AZ,6728,1607,611,1778,1697,1035,5735,315,249,221,42,166,1321,1047,1307,1672,1380,519,638,2579,1430,1563
AR,2951,722,238,757,778,456,2353,458,14,55,13,57,583,450,777,635,506,222,253,1212,621,643
CA,39081,9126,3953,10800,10126,5076,28306,2484,758,6046,279,1208,7559,5964,7168,8939,9451,2500,2941,13371,8482,11788
CO,5420,1239,485,1603,1333,759,4804,238,63,150,18,147,1044,499,1093,1189,1595,240,298,1662,1464,1756
CT,3572,771,302,878,1066,554,2908,399,31,169,7,56,613,412,806,720,1021,169,155,896,862,1490
DE,958,204,82,244,272,156,694,209,4,38,0,14,171,105,273,194,214,48,58,306,218,327
DC,676,119,64,269,137,87,301,323,3,32,1,16,102,63,109,82,318,60,53,172,116,276
FL,20071,4203,1834,4723,5554,3757,15624,3386,94,512,38,417,3388,2504,5025,4763,4392,1427,1826,7304,4524,4991
GA,10100,2456,1013,2732,2601,1298,6157,3191,49,470,19,214,2061,1429,2273,2128,2210,890,943,3459,2217,2590
HI,1382,310,118,377,346,231,290,35,3,560,217,277,260,122,345,333,322,78,74,425,369,437
ID,1657,424,154,421,406,252,1585,13,10,23,4,22,360,180,347,465,305,85,119,708,394,351
IL,12683,2938,1088,3480,3295,1882,9920,1789,44,784,24,121,2428,1448,2641,2744,3423,645,736,3973,3198,4132
IN,6502,1581,582,1717,1612,1010,5649,605,37,118,16,77,1294,833,1817,1333,1224,326,554,2250,1788,1584
IA,3100,728,278,801,805,487,2857,108,15,76,6,39,610,322,728,761,679,139,182,1018,840,920
