state,total_pop,age_under_18,age_18_24,age_25_44,age_45_64,age_65_plus,race_white,race_black,race_native,race_asian,race_pacific_islander,race_mixed,edu_child_under_15,edu_no_hs_diploma,edu_high_school,edu_some_college,edu_college_degree_plus,irp_below_50,irp_50_100,irp_100_300,irp_300_500,irp_500_plus
AL,4765,1176,369,1282,1311,627,3360,1255,28,48,0,75,913,763,1235,1023,831,332,400,1858,1123,1052
AK,712,190,74,191,197,60,515,24,60,52,10,52,155,88,159,175,135,44,39,241,177,211
AZ,6547,1615,597,1746,1736,854,5754,280,153,213,16,132,1323,1007,1222,1604,1391,530,598,2456,1431,1532
AR,2909,692,276,757,723,462,2335,444,17,48,7,59,611,410,743,675,470,275,270,1205,617,543
CA,37592,9286,3947,10563,9441,4356,28071,2402,777,4935,322,1086,7585,6656,6872,8247,8231,2694,3658,14140,7177,9924
CO,5016,1241,487,1382,1293,613,4476,210,49,145,11,126,1005,593,888,1136,1393,253,408,1603,1209,1543
CT,3514,805,343,840,1023,503,2894,377,3,197,0,42,637,431,759,677,1009,131,225,1011,841,1306
DE,902,204,84,236,245,133,644,193,5,38,0,22,165,124,237,181,195,54,70,309,233,236
DC,619,109,66,235,133,77,266,312,2,28,3,8,91,75,99,79,276,61,62,166,107,223
FL,18986,3946,1639,4744,5249,3409,14942,3096,105,499,12,333,3276,2420,4669,4521,4100,1233,1590,7482,4316,4366
GA,9681,2538,887,2669,2597,990,6133,2944,23,394,9,178,2088,1355,2164,1982,2092,788,995,3512,2132,2253
HI,1337,307,147,316,373,194,275,24,6,520,218,293,250,156,357,295,279,75,86,491,331,353
ID,1574,427,144,408,376,220,1494,12,16,23,14,15,358,198,330,408,279,92,155,659,357,310
IL,12697,3092,1256,3401,3262,1686,9952,1856,57,611,13,207,2545,1614,2942,2682,2914,838,969,4568,3093,3229
IN,6344,1569,614,1592,1660,909,5539,575,9,101,6,114,1302,963,1681,1412,986,497,492,2404,1561,1392
IA,3027,715,311,746,852,403,2786,93,17,62,0,69,588,379,757,724,579,119,196,1181,829,702
KS,2807,713,273,715,700,406,2431,167,18,76,2,113,599,313,573,648,675,176,226,1067,666,672
KY,4302,1001,473,1053,1199,577,3810,337,5,55,0,94,850,616,1227,918,691,288,400,1825,980,809
LA,4494,1116,413,1183,1159,622,2959,1425,20,43,27,19,904,741,1205,915,729,470,477,1682,1030,835
ME,1328,267,120,298,441,203,1261,17,4,12,0,34,215,148,376,315,274,68,111,475,343,332
MD,5806,1360,554,1536,1610,747,3464,1734,34,430,5,139,1104,710,1236,1156,1600,236,301,1674,1474,2120
MA,6514,1413,755,1626,1782,937,5506,478,2,398,5,125,1152,781,1305,1275,2001,298,389,1939,1490,2396
MI,9689,2273,957,2335,2741,1383,7775,1362,38,288,8,217,1828,1164,2302,2414,1980,673,775,3401,2248,2590
MN,5276,1266,468,1396,1431,715,4565,278,26,289,12,107,1044,547,1075,1334,1276,228,300,1590,1547,1611
MS,2932,762,294,724,771,381,1761,1094,16,26,1,33,624,516,631,655,506,203,307,1250,681,491
MO,5892,1405,537,1491,1623,836,4880,669,27,116,3,196,1159,755,1400,1382,1195,367,543,2112,1404,1466
MT,986,219,93,240,256,178,896,6,57,6,1,20,192,81,241,250,222,67,96,411,238,174
NE,1823,457,181,466,479,239,1624,83,44,42,1,29,384,210,416,436,377,81,106,659,477,499
NV,2682,660,262,721,684,354,1986,221,30,246,48,152,545,381,632,647,476,196,218,1084,619,565
NH,1300,279,119,324,395,183,1235,17,3,24,0,20,219,136,292,291,362,49,51,360,369,471
NJ,8642,2021,885,2161,2363,1213,6560,1259,7,694,8,115,1640,1126,2032,1536,2308,543,446,2438,2112,3104
NM,2037,510,177,521,509,320,1711,50,192,62,0,22,430,330,418,413,446,174,277,737,404,445
NY,19329,4280,1960,5230,5224,2635,13789,3348,98,1794,29,271,3510,2842,4549,3727,4701,1352,1733,6727,4312,5204
NC,9504,2314,895,2496,2490,1308,6748,2099,270,213,21,152,1930,1386,2169,2133,1886,587,873,3663,2328,2053
ND,675,153,71,180,181,90,574,9,64,9,0,19,126,70,142,184,154,29,38,210,193,205
OH,11309,2645,1157,2758,3080,1670,9472,1392,33,170,0,241,2228,1380,3286,2520,1896,730,978,4350,2712,2539
OK,3763,923,356,983,959,542,2671,272,261,43,6,510,804,404,944,924,686,207,315,1464,892,885
OR,3850,864,380,1010,1034,562,3393,76,50,184,26,120,714,405,786,1034,910,229,323,1481,887,930
PA,12697,2674,1350,3055,3598,2020,10814,1403,15,287,8,170,2213,1593,3832,2407,2652,705,898,4453,3248,3392
RI,1038,227,103,266,281,161,908,72,7,25,1,25,176,171,247,204,240,57,82,358,234,307
SC,4605,1065,445,1197,1257,641,3210,1284,4,34,2,72,911,654,1153,1040,848,336,538,1896,1126,709
SD,808,197,86,196,215,114,695,12,81,6,0,15,166,97,200,196,149,59,59,309,225,156
TN,6324,1476,528,1741,1726,852,4996,1044,23,119,5,136,1231,921,1681,1300,1190,464,566,2571,1498,1224
TX,25554,6948,2414,7258,6220,2714,20551,3064,158,1258,57,466,5791,4621,5143,5227,4772,1972,2485,9746,5526,5825
UT,2812,892,309,802,537,272,2578,37,36,62,61,38,735,358,514,727,478,114,194,1214,695,595
VT,615,121,52,158,190,93,581,7,2,8,0,17,101,67,162,126,160,35,37,211,178,155
VA,7971,1874,784,2117,2133,1062,5736,1547,27,436,8,216,1541,980,1803,1597,2050,449,458,2609,1827,2628
WA,6812,1612,659,1828,1848,865,5514,247,84,591,60,316,1295,868,1347,1690,1612,420,434,2441,1671,1846
WV,1820,378,141,466,589,247,1719,59,3,11,1,28,312,254,630,340,285,134,184,717,453,332
WI,5676,1324,594,1369,1582,807,5003,339,124,112,5,92,1082,623,1416,1371,1184,313,430,1839,1583,1511
WY,562,136,56,142,164,64,521,6,19,3,0,14,112,65,151,150,83,29,31,199,158,144
