state,total_pop,age_under_18,age_18_24,age_25_44,age_45_64,age_65_plus,race_white,race_black,race_native,race_asian,race_pacific_islander,race_mixed,edu_child_under_15,edu_no_hs_diploma,edu_high_school,edu_some_college,edu_college_degree_plus,irp_below_50,irp_50_100,irp_100_300,irp_300_500,irp_500_plus
AL,4417,1091,435,1194,1148,549,3082,1159,9,53,0,114,906,784,1120,929,678,260,403,1633,1136,986
AK,643,191,64,183,159,45,443,24,75,45,9,47,154,87,146,154,103,24,38,217,193,171
AZ,5558,1511,537,1571,1282,657,5013,185,109,143,9,99,1302,894,1133,1226,1003,326,423,2220,1282,1307
AR,2670,674,233,776,610,377,2153,426,21,25,0,44,572,516,753,492,338,171,303,1186,572,438
CA,35309,9478,3735,10329,8056,3710,27280,2344,413,4159,288,825,7828,6519,5888,7718,7356,2009,2625,12485,8005,10186
CO,4478,1161,461,1381,1077,398,4000,180,77,102,11,107,965,611,873,951,1078,221,215,1506,1129,1407
CT,3417,849,314,921,875,458,2942,332,5,74,11,52,670,496,788,648,816,120,158,908,902,1330
DE,818,197,85,230,208,97,630,154,4,19,3,9,160,129,227,148,154,21,39,280,225,253
DC,550,105,48,201,131,65,201,323,1,17,0,8,88,78,107,84,193,55,37,158,117,182
FL,16884,3940,1455,4499,4125,2865,13635,2655,23,328,27,216,3225,2663,4173,3763,3059,878,1271,6553,4090,4092
GA,8559,2285,748,2723,1956,846,5844,2437,2,180,31,65,1907,1374,2098,1587,1594,394,621,3091,2416,2037
HI,1250,310,116,342,311,171,244,28,5,598,91,285,255,164,298,306,227,52,65,418,347,368
ID,1356,371,134,380,328,143,1285,6,13,9,2,42,307,196,317,322,214,53,85,633,303,283
IL,12616,3198,1327,3683,2882,1525,10139,1900,44,443,4,85,2691,1878,3094,2579,2373,757,835,4257,3085,3681
IN,6130,1567,553,1796,1479,735,5437,510,7,114,5,56,1318,920,1806,1217,868,242,367,2236,1738,1546
IA,2916,693,300,784,728,410,2760,64,18,47,1,27,560,397,783,685,492,91,169,1075,856,726
KS,2676,697,262,771,645,301,2309,155,33,82,1,97,566,359,576,646,529,118,170,959,765,664
KY,4100,1006,340,1225,973,556,3657,322,11,54,2,54,814,772,1109,804,601,189,400,1570,1111,830
LA,4422,1189,474,1194,1047,517,2925,1419,25,25,2,25,946,924,1145,754,654,372,378,1869,967,835
ME,1279,284,114,346,340,195,1220,8,2,18,1,31,223,199,378,257,222,67,81,511,335,284
